sed	met	ign	cover	lat	lon	slope
0.0	0.0	1.0	0.0	-8.343010897604799	-55.05619220134645	21.862222222222222
1.0	0.0	0.0	0.0	26.96761009915516	-2.0453729367630444	21.862222222222222
0.0	0.0	1.0	0.0	-35.02648502965056	-70.77636298201057	327.1022222222222
1.0	0.0	0.0	0.0	18.695119188858953	6.108235724496296	2.2133333333333334
0.0	0.0	1.0	0.0	79.24662573249638	-21.06744838501845	24.4
1.0	0.0	0.0	0.0	-0.24786973082484565	-62.04181448597336	2.1422222222222222
1.0	0.0	0.0	0.0	-22.815241200074325	118.58438266221862	89.63111111111111
1.0	0.0	0.0	0.0	30.100956751199853	58.981435437454394	19.0
1.0	0.0	0.0	0.0	23.297708590812178	21.94727708951865	27.884444444444444
0.0	0.0	1.0	0.0	47.66136317239257	112.22956214089726	39.528888888888886
